ENG	FR	eng_stem	fr_stem	ratio_similarity
aback	décontenancé	aback	décontenanc	25
airlock	sas	airlock	sas	20
airsick	le mal de l'air	airsick	le mal de l'air	27
alack	un manque	alack	un manqu	15
amok	amok	amok	amok	100
amuck	amok	amuck	amok	67
anorak	anorak	anorak	anorak	100
apparatchik	apparatchik	apparatchik	apparatchik	100
arak	arak	arak	arak	100
ark	arche	ark	arche	50
artwork	ouvrages d'art	artwork	ouvrages d'art	29
ask	interroger	ask	interrog	0
asterisk	astérisque	asterisk	astérisqu	71
attack	attaque	attack	attaqu	67
auk	pingouin	auk	pingouin	18
awestruck	émerveillé	awestruck	émerveil	24
back	retour	back	retour	0
backpack	sac à dos	backpack	sac à dos	24
backtrack	revenir en arrière	backtrack	revenir en arri	17
bailiwick	bailliage	bailiwick	bailliag	59
bangkok	Bangkok	bangkok	bangkok	100
bank	Banque	bank	banqu	67
bareback	à cru	bareback	à cru	15
bark	aboyer	bark	aboi	25
barrack	caserne	barrack	casern	31
basilisk	basilic	basilisk	basilic	80
bask	se prélasser	bask	se prélass	29
batik	batik	batik	batik	100
baulk	bille	baulk	bill	44
beadwork	perlage	beadwork	perlag	29
beak	le bec	beak	le bec	40
beanstalk	haricot	beanstalk	haricot	25
beatnik	beatnik	beatnik	beatnik	100
beck	faire signe	beck	faire sign	14
bedrock	substrat rocheux	bedrock	substrat roch	40
benchmark	référence	benchmark	référent	24
berk	berk	berk	berk	100
berserk	fou furieux	berserk	fou furi	13
bespeak	commander	bespeak	command	14
biofeedback	biofeedback	biofeedback	biofeedback	100
birthmark	tache de naissance	birthmark	tache de naiss	9
bismarck	Bismarck	bismarck	bismarck	100
black	noir	black	noir	0
blackjack	blackjack	blackjack	blackjack	100
blank	Vide	blank	vid	0
bleak	sombre	bleak	sombr	20
blesbok	blesbok	blesbok	blesbok	100
blink	clignoter	blink	clignot	50
block	bloquer	block	bloqu	60
bloodstock	sang	bloodstock	sang	14
bodywork	carrosserie	bodywork	carrosser	24
book	livre	book	livr	0
bookmark	signet	bookmark	signet	0
bookwork	livre	bookwork	livr	17
bottleneck	goulot	bottleneck	goulot	25
break	Pause	break	paus	22
breakneck	effraction	breakneck	effract	38
brick	brique	brick	briqu	60
brickwork	maçonnerie	brickwork	maçonner	12
brink	bord	brink	bord	44
brisk	rapide	brisk	rapid	40
brook	ruisseau	brook	ruisseau	15
broomstick	manche à balai	broomstick	manche à bal	9
brushwork	coup de pinceau	brushwork	coup de pinceau	8
buck	mâle	buck	mâl	0
bulk	masse	bulk	mass	0
bullock	bœuf	bullock	bœuf	36
bulwark	rempart	bulwark	rempart	29
bunk	couchette	bunk	couchet	18
burdock	bardane	burdock	bardan	46
busk	busk	busk	busk	100
buttermilk	Babeurre	buttermilk	babeurr	35
buttock	fesse	buttock	fess	0
camerawork	travail de caméra	camerawork	travail de camer	38
candlestick	chandelier	candlestick	chandeli	63
carsick	malade en voiture	carsick	malade en voitur	17
casebook	cahier de cas	casebook	cahier de c	32
casework	gestion des dossiers	casework	gestion des dossi	24
cask	fût	cask	fût	0
cassock	soutane	cassock	soutan	31
catwalk	passerelle	catwalk	passerel	27
chalk	craie	chalk	crai	44
check	Chèque	check	chequ	60
cheek	joue	cheek	jou	0
chequebook	Carnet de chèque	chequebook	carnet de chequ	40
chick	poussin	chick	poussin	17
chink	fente	chink	fent	22
chipmunk	tamia	chipmunk	tami	17
chock	cale	chock	cal	25
chockablock	choquer	chockablock	choqu	38
chuck	mandrin	chuck	mandrin	0
chunk	tronçon	chunk	tronçon	17
clank	cliquetis	clank	cliquet	33
clerk	employé de bureau	clerk	employé de bureau	27
click	Cliquez sur	click	cliquez sur	38
